Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Moses Brown,Dal,C,"22,34",26,"6,5","13,5",22,"16,9",43,"0,628",50,"0,54",0,0,"0,54","0,588","3,1","2,3","19,8",0,"0,9","0,12","0,35","0,54",0,"106,8","89,2"
Sterling Brown,Dal,G-F,"27,01",36,"14,2","29,7","13,4","13,7",11,"0,909",49,"0,49",79,"0,342","0,504","0,523","3,9","3,5","13,5","0,8",8,"0,33","0,14","0,58","6,2",104,"99,9"
Jalen Brunson,Dal,G,"25,46",56,"31,9","66,4","22,1",11,146,"0,808",548,"0,547",171,"0,357","0,545","0,575","16,1","3,8","6,6","5,4","27,9","0,88","0,05","1,73","8,7","116,5","105,2"
Thomas Bryant,Was,C-F,"24,55",14,17,"35,5","19,9","8,4",22,"0,818",61,"0,557",27,"0,333","0,54","0,578","8,1","3,7","11,9","0,9","7,8","0,43","0,5","0,64","7,1","117,7","104,2"
Shaq Buchanan,Mem,G,20,2,"4,9","10,2","25,3","33,3",0,0,2,"0,5",2,0,"0,25","0,25",1,1,"10,7",1,"25,9","0,5",0,1,"8,2","60,7","99,2"
Reggie Bullock,Dal,G-F,"30,92",49,"25,3","52,8","13,5","6,7",35,"0,857",79,"0,582",256,"0,363","0,554","0,572","8,2","3,4","7,4",1,"5,9","0,51","0,12","0,51","4,8","113,3","105,5"
Trey Burke,Dal,G,"29,26",32,"10,8","22,5","25,8","10,5",17,"0,941",102,"0,471",69,"0,333","0,482","0,507","5,7","0,9","4,4","1,4",22,"0,31",0,"0,66","7,1",101,"102,5"
Alec Burks,Nyk,G,"30,58",57,"26,6","55,5","18,3","8,8",189,"0,825",239,"0,372",255,"0,388","0,481","0,547","11,1","4,4","8,8","2,6",15,"1,09","0,3","0,98","7,6","115,6","103,3"
Jared Butler,Uta,G,"21,48",28,"7,6","15,9","23,5","19,1",12,"0,583",41,"0,463",47,"0,362","0,506","0,515","3,4","0,8","5,9","1,2","23,4","0,32","0,25","0,79","7,8","98,4","98,9"
Jimmy Butler,Mia,F,"32,42",38,"33,8","70,4","26,5","10,5",298,"0,893",489,"0,53",68,"0,206","0,503","0,6","21,7","6,3","10,4",6,"29,7","1,82","0,45","2,13","11,1","126,6","105,7"
Devontae Cacok,San,F,"25,35",10,8,"16,6","14,9","7,1",7,"0,571",23,"0,696",0,0,"0,696","0,69","3,6",3,"19,7","0,2","3,6","0,5","0,7","0,2","6,5","132,2","93,5"
